cluster	ensembl_gene_id	counts	genes_num	genes_names
cl_3229	ENSG00000087088 ENSG00000141510 ENSG00000198793	2	3	BAX
cl_3229	ENSG00000087088 ENSG00000141510 ENSG00000198793	2	3	TP53
cl_3229	ENSG00000087088 ENSG00000141510 ENSG00000198793	2	3	MTOR
cl_3230	ENSG00000087088 ENSG00000141510 ENSG00000196419	2	3	BAX
cl_3230	ENSG00000087088 ENSG00000141510 ENSG00000196419	2	3	TP53
cl_3230	ENSG00000087088 ENSG00000141510 ENSG00000196419	2	3	XRCC6
cl_3231	ENSG00000073756 ENSG00000139687 ENSG00000141510	2	3	PTGS2
cl_3231	ENSG00000073756 ENSG00000139687 ENSG00000141510	2	3	RB1
cl_3231	ENSG00000073756 ENSG00000139687 ENSG00000141510	2	3	TP53
cl_3232	ENSG00000073756 ENSG00000140443 ENSG00000142208	2	3	PTGS2
cl_3232	ENSG00000073756 ENSG00000140443 ENSG00000142208	2	3	IGF1R
cl_3232	ENSG00000073756 ENSG00000140443 ENSG00000142208	2	3	AKT1
cl_3233	ENSG00000087088 ENSG00000141510 ENSG00000171791 ENSG00000213341	2	4	BAX
cl_3233	ENSG00000087088 ENSG00000141510 ENSG00000171791 ENSG00000213341	2	4	TP53
cl_3233	ENSG00000087088 ENSG00000141510 ENSG00000171791 ENSG00000213341	2	4	BCL2
cl_3233	ENSG00000087088 ENSG00000141510 ENSG00000171791 ENSG00000213341	2	4	CHUK
cl_3234	ENSG00000109458 ENSG00000141736 ENSG00000146648	2	3	GAB1
cl_3234	ENSG00000109458 ENSG00000141736 ENSG00000146648	2	3	ERBB2
cl_3234	ENSG00000109458 ENSG00000141736 ENSG00000146648	2	3	EGFR
cl_3235	ENSG00000073756 ENSG00000141510 ENSG00000142208 ENSG00000171552	2	4	PTGS2
cl_3235	ENSG00000073756 ENSG00000141510 ENSG00000142208 ENSG00000171552	2	4	TP53
cl_3235	ENSG00000073756 ENSG00000141510 ENSG00000142208 ENSG00000171552	2	4	AKT1
cl_3235	ENSG00000073756 ENSG00000141510 ENSG00000142208 ENSG00000171552	2	4	BCL2L1
cl_3236	ENSG00000121858 ENSG00000146648 ENSG00000171791	2	3	TNFSF10
cl_3236	ENSG00000121858 ENSG00000146648 ENSG00000171791	2	3	EGFR
cl_3236	ENSG00000121858 ENSG00000146648 ENSG00000171791	2	3	BCL2
cl_3237	ENSG00000087088 ENSG00000141510 ENSG00000171791 ENSG00000176171	2	4	BAX
cl_3237	ENSG00000087088 ENSG00000141510 ENSG00000171791 ENSG00000176171	2	4	TP53
cl_3237	ENSG00000087088 ENSG00000141510 ENSG00000171791 ENSG00000176171	2	4	BCL2
cl_3237	ENSG00000087088 ENSG00000141510 ENSG00000171791 ENSG00000176171	2	4	BNIP3
cl_3238	ENSG00000087088 ENSG00000141510 ENSG00000171791 ENSG00000174775	2	4	BAX
cl_3238	ENSG00000087088 ENSG00000141510 ENSG00000171791 ENSG00000174775	2	4	TP53
cl_3238	ENSG00000087088 ENSG00000141510 ENSG00000171791 ENSG00000174775	2	4	BCL2
cl_3238	ENSG00000087088 ENSG00000141510 ENSG00000171791 ENSG00000174775	2	4	HRAS
cl_3239	ENSG00000073756 ENSG00000141510 ENSG00000148773 ENSG00000168036	2	4	PTGS2
cl_3239	ENSG00000073756 ENSG00000141510 ENSG00000148773 ENSG00000168036	2	4	TP53
cl_3239	ENSG00000073756 ENSG00000141510 ENSG00000148773 ENSG00000168036	2	4	MKI67
cl_3239	ENSG00000073756 ENSG00000141510 ENSG00000148773 ENSG00000168036	2	4	CTNNB1
cl_3240	ENSG00000073756 ENSG00000141510 ENSG00000168610	2	3	PTGS2
cl_3240	ENSG00000073756 ENSG00000141510 ENSG00000168610	2	3	TP53
cl_3240	ENSG00000073756 ENSG00000141510 ENSG00000168610	2	3	STAT3
cl_3241	ENSG00000087088 ENSG00000141510 ENSG00000171791 ENSG00000171862	2	4	BAX
cl_3241	ENSG00000087088 ENSG00000141510 ENSG00000171791 ENSG00000171862	2	4	TP53
cl_3241	ENSG00000087088 ENSG00000141510 ENSG00000171791 ENSG00000171862	2	4	BCL2
cl_3241	ENSG00000087088 ENSG00000141510 ENSG00000171791 ENSG00000171862	2	4	PTEN
cl_3242	ENSG00000121858 ENSG00000143384 ENSG00000168610	2	3	TNFSF10
cl_3242	ENSG00000121858 ENSG00000143384 ENSG00000168610	2	3	MCL1
cl_3242	ENSG00000121858 ENSG00000143384 ENSG00000168610	2	3	STAT3
cl_3243	ENSG00000121858 ENSG00000142208 ENSG00000198793	2	3	TNFSF10
cl_3243	ENSG00000121858 ENSG00000142208 ENSG00000198793	2	3	AKT1
cl_3243	ENSG00000121858 ENSG00000142208 ENSG00000198793	2	3	MTOR
cl_3244	ENSG00000073756 ENSG00000141736 ENSG00000142208	2	3	PTGS2
cl_3244	ENSG00000073756 ENSG00000141736 ENSG00000142208	2	3	ERBB2
cl_3244	ENSG00000073756 ENSG00000141736 ENSG00000142208	2	3	AKT1
cl_3245	ENSG00000121879 ENSG00000133703 ENSG00000141510 ENSG00000148400	2	4	PIK3CA
cl_3245	ENSG00000121879 ENSG00000133703 ENSG00000141510 ENSG00000148400	2	4	KRAS
cl_3245	ENSG00000121879 ENSG00000133703 ENSG00000141510 ENSG00000148400	2	4	TP53
cl_3245	ENSG00000121879 ENSG00000133703 ENSG00000141510 ENSG00000148400	2	4	NOTCH1
cl_3246	ENSG00000087088 ENSG00000143799 ENSG00000149554 ENSG00000171791	2	4	BAX
cl_3246	ENSG00000087088 ENSG00000143799 ENSG00000149554 ENSG00000171791	2	4	PARP1
cl_3246	ENSG00000087088 ENSG00000143799 ENSG00000149554 ENSG00000171791	2	4	CHEK1
cl_3246	ENSG00000087088 ENSG00000143799 ENSG00000149554 ENSG00000171791	2	4	BCL2
cl_3247	ENSG00000089685 ENSG00000100030 ENSG00000142208 ENSG00000171791	2	4	BIRC5
cl_3247	ENSG00000089685 ENSG00000100030 ENSG00000142208 ENSG00000171791	2	4	MAPK1
cl_3247	ENSG00000089685 ENSG00000100030 ENSG00000142208 ENSG00000171791	2	4	AKT1
cl_3247	ENSG00000089685 ENSG00000100030 ENSG00000142208 ENSG00000171791	2	4	BCL2
cl_3248	ENSG00000073756 ENSG00000100644 ENSG00000112715 ENSG00000168610	2	4	PTGS2
cl_3248	ENSG00000073756 ENSG00000100644 ENSG00000112715 ENSG00000168610	2	4	HIF1A
cl_3248	ENSG00000073756 ENSG00000100644 ENSG00000112715 ENSG00000168610	2	4	VEGFA
cl_3248	ENSG00000073756 ENSG00000100644 ENSG00000112715 ENSG00000168610	2	4	STAT3
cl_3249	ENSG00000073756 ENSG00000100030 ENSG00000142208 ENSG00000173039	2	4	PTGS2
cl_3249	ENSG00000073756 ENSG00000100030 ENSG00000142208 ENSG00000173039	2	4	MAPK1
cl_3249	ENSG00000073756 ENSG00000100030 ENSG00000142208 ENSG00000173039	2	4	AKT1
cl_3249	ENSG00000073756 ENSG00000100030 ENSG00000142208 ENSG00000173039	2	4	RELA
cl_3250	ENSG00000107643 ENSG00000142208 ENSG00000168036 ENSG00000198793	2	4	MAPK8
cl_3250	ENSG00000107643 ENSG00000142208 ENSG00000168036 ENSG00000198793	2	4	AKT1
cl_3250	ENSG00000107643 ENSG00000142208 ENSG00000168036 ENSG00000198793	2	4	CTNNB1
cl_3250	ENSG00000107643 ENSG00000142208 ENSG00000168036 ENSG00000198793	2	4	MTOR
cl_3251	ENSG00000121879 ENSG00000141510 ENSG00000145675	2	3	PIK3CA
cl_3251	ENSG00000121879 ENSG00000141510 ENSG00000145675	2	3	TP53
cl_3251	ENSG00000121879 ENSG00000141510 ENSG00000145675	2	3	PIK3R1
cl_3252	ENSG00000073756 ENSG00000100030 ENSG00000168610	2	3	PTGS2
cl_3252	ENSG00000073756 ENSG00000100030 ENSG00000168610	2	3	MAPK1
cl_3252	ENSG00000073756 ENSG00000100030 ENSG00000168610	2	3	STAT3
cl_3253	ENSG00000073756 ENSG00000100030 ENSG00000171791	2	3	PTGS2
cl_3253	ENSG00000073756 ENSG00000100030 ENSG00000171791	2	3	MAPK1
cl_3253	ENSG00000073756 ENSG00000100030 ENSG00000171791	2	3	BCL2
cl_3254	ENSG00000073756 ENSG00000100030 ENSG00000173039	2	3	PTGS2
cl_3254	ENSG00000073756 ENSG00000100030 ENSG00000173039	2	3	MAPK1
cl_3254	ENSG00000073756 ENSG00000100030 ENSG00000173039	2	3	RELA
cl_3255	ENSG00000121879 ENSG00000141510 ENSG00000142208 ENSG00000198793	2	4	PIK3CA
cl_3255	ENSG00000121879 ENSG00000141510 ENSG00000142208 ENSG00000198793	2	4	TP53
cl_3255	ENSG00000121879 ENSG00000141510 ENSG00000142208 ENSG00000198793	2	4	AKT1
cl_3255	ENSG00000121879 ENSG00000141510 ENSG00000142208 ENSG00000198793	2	4	MTOR
cl_3256	ENSG00000121879 ENSG00000141510 ENSG00000142208 ENSG00000171862 ENSG00000198793	2	5	PIK3CA
cl_3256	ENSG00000121879 ENSG00000141510 ENSG00000142208 ENSG00000171862 ENSG00000198793	2	5	TP53
cl_3256	ENSG00000121879 ENSG00000141510 ENSG00000142208 ENSG00000171862 ENSG00000198793	2	5	AKT1
cl_3256	ENSG00000121879 ENSG00000141510 ENSG00000142208 ENSG00000171862 ENSG00000198793	2	5	PTEN
cl_3256	ENSG00000121879 ENSG00000141510 ENSG00000142208 ENSG00000171862 ENSG00000198793	2	5	MTOR
cl_3257	ENSG00000121879 ENSG00000141510 ENSG00000142208 ENSG00000171862	2	4	PIK3CA
cl_3257	ENSG00000121879 ENSG00000141510 ENSG00000142208 ENSG00000171862	2	4	TP53
cl_3257	ENSG00000121879 ENSG00000141510 ENSG00000142208 ENSG00000171862	2	4	AKT1
cl_3257	ENSG00000121879 ENSG00000141510 ENSG00000142208 ENSG00000171862	2	4	PTEN
cl_3258	ENSG00000107643 ENSG00000142208 ENSG00000171791 ENSG00000198793	2	4	MAPK8
cl_3258	ENSG00000107643 ENSG00000142208 ENSG00000171791 ENSG00000198793	2	4	AKT1
cl_3258	ENSG00000107643 ENSG00000142208 ENSG00000171791 ENSG00000198793	2	4	BCL2
cl_3258	ENSG00000107643 ENSG00000142208 ENSG00000171791 ENSG00000198793	2	4	MTOR
cl_3259	ENSG00000121879 ENSG00000141510 ENSG00000141736 ENSG00000171862	2	4	PIK3CA
cl_3259	ENSG00000121879 ENSG00000141510 ENSG00000141736 ENSG00000171862	2	4	TP53
cl_3259	ENSG00000121879 ENSG00000141510 ENSG00000141736 ENSG00000171862	2	4	ERBB2
cl_3259	ENSG00000121879 ENSG00000141510 ENSG00000141736 ENSG00000171862	2	4	PTEN
cl_3260	ENSG00000121879 ENSG00000141510 ENSG00000157764	2	3	PIK3CA
cl_3260	ENSG00000121879 ENSG00000141510 ENSG00000157764	2	3	TP53
cl_3260	ENSG00000121879 ENSG00000141510 ENSG00000157764	2	3	BRAF
cl_3261	ENSG00000107643 ENSG00000142208 ENSG00000187840 ENSG00000198793	2	4	MAPK8
cl_3261	ENSG00000107643 ENSG00000142208 ENSG00000187840 ENSG00000198793	2	4	AKT1
cl_3261	ENSG00000107643 ENSG00000142208 ENSG00000187840 ENSG00000198793	2	4	EIF4EBP1
cl_3261	ENSG00000107643 ENSG00000142208 ENSG00000187840 ENSG00000198793	2	4	MTOR
cl_3262	ENSG00000107643 ENSG00000142208 ENSG00000197122	2	3	MAPK8
cl_3262	ENSG00000107643 ENSG00000142208 ENSG00000197122	2	3	AKT1
cl_3262	ENSG00000107643 ENSG00000142208 ENSG00000197122	2	3	SRC
cl_3263	ENSG00000107643 ENSG00000142208 ENSG00000213341	2	3	MAPK8
cl_3263	ENSG00000107643 ENSG00000142208 ENSG00000213341	2	3	AKT1
cl_3263	ENSG00000107643 ENSG00000142208 ENSG00000213341	2	3	CHUK
cl_3264	ENSG00000073756 ENSG00000100644 ENSG00000141510	2	3	PTGS2
cl_3264	ENSG00000073756 ENSG00000100644 ENSG00000141510	2	3	HIF1A
cl_3264	ENSG00000073756 ENSG00000100644 ENSG00000141510	2	3	TP53
cl_3265	ENSG00000073756 ENSG00000100644 ENSG00000171791	2	3	PTGS2
cl_3265	ENSG00000073756 ENSG00000100644 ENSG00000171791	2	3	HIF1A
cl_3265	ENSG00000073756 ENSG00000100644 ENSG00000171791	2	3	BCL2
cl_3266	ENSG00000107643 ENSG00000143384 ENSG00000171552 ENSG00000171791	2	4	MAPK8
cl_3266	ENSG00000107643 ENSG00000143384 ENSG00000171552 ENSG00000171791	2	4	MCL1
cl_3266	ENSG00000107643 ENSG00000143384 ENSG00000171552 ENSG00000171791	2	4	BCL2L1
cl_3266	ENSG00000107643 ENSG00000143384 ENSG00000171552 ENSG00000171791	2	4	BCL2
cl_3267	ENSG00000107643 ENSG00000143799 ENSG00000171552 ENSG00000171791	2	4	MAPK8
cl_3267	ENSG00000107643 ENSG00000143799 ENSG00000171552 ENSG00000171791	2	4	PARP1
cl_3267	ENSG00000107643 ENSG00000143799 ENSG00000171552 ENSG00000171791	2	4	BCL2L1
cl_3267	ENSG00000107643 ENSG00000143799 ENSG00000171552 ENSG00000171791	2	4	BCL2
cl_3268	ENSG00000107643 ENSG00000146648 ENSG00000168610 ENSG00000197122	2	4	MAPK8
cl_3268	ENSG00000107643 ENSG00000146648 ENSG00000168610 ENSG00000197122	2	4	EGFR
cl_3268	ENSG00000107643 ENSG00000146648 ENSG00000168610 ENSG00000197122	2	4	STAT3
cl_3268	ENSG00000107643 ENSG00000146648 ENSG00000168610 ENSG00000197122	2	4	SRC
cl_3269	ENSG00000073756 ENSG00000105810 ENSG00000110092 ENSG00000135446	2	4	PTGS2
